Slice,Area,Media,Minimo,Maximo
0,0,0.00,0,0
1,0,0.00,0,0
2,0,0.00,0,0
3,0,0.00,0,0
4,0,0.00,0,0
5,0,0.00,0,0
6,0,0.00,0,0
7,0,0.00,0,0
8,0,0.00,0,0
9,0,0.00,0,0
10,0,0.00,0,0
11,0,0.00,0,0
12,0,0.00,0,0
13,0,0.00,0,0
14,0,0.00,0,0
15,0,0.00,0,0
16,0,0.00,0,0
17,0,0.00,0,0
18,0,0.00,0,0
19,0,0.00,0,0
20,0,0.00,0,0
21,0,0.00,0,0
22,0,0.00,0,0
23,0,0.00,0,0
24,0,0.00,0,0
25,0,0.00,0,0
26,0,0.00,0,0
27,0,0.00,0,0
28,0,0.00,0,0
29,0,0.00,0,0
30,0,0.00,0,0
31,9,140.78,123,158
32,130,139.43,73,203
33,241,162.48,88,251
34,295,133.37,66,176
35,403,141.18,34,192
36,534,149.23,9,232
37,579,152.42,49,255
38,694,160.62,28,255
39,741,174.61,42,255
40,807,177.71,40,255
41,890,168.26,26,255
42,947,163.22,28,255
43,1029,160.99,12,255
44,1083,161.63,24,255
45,1144,168.19,11,255
46,1436,173.48,28,255
47,1558,171.87,22,255
48,1631,161.66,26,255
49,1774,142.65,13,255
50,1819,149.80,31,255
51,1921,158.39,14,255
52,1966,167.69,28,255
53,1950,167.57,24,255
54,1985,144.51,29,255
55,2027,136.06,12,255
56,2123,138.78,25,255
57,2177,141.88,22,255
58,2240,141.29,22,255
59,2289,148.38,19,255
60,2325,153.48,26,255
61,2359,147.53,30,255
62,2394,144.44,22,255
63,2438,143.49,23,255
64,2429,148.08,25,255
65,2417,151.06,24,255
66,2426,158.25,47,255
67,2396,160.61,82,255
68,2366,157.40,85,255
69,2335,158.81,84,255
70,2338,154.70,65,255
71,2334,153.85,82,255
72,2325,155.15,71,255
73,2352,153.05,70,255
74,2296,150.73,68,255
75,2306,145.05,62,255
76,2283,147.12,35,255
77,2200,153.91,43,255
78,2168,165.37,55,255
79,2057,179.87,77,255
80,1965,180.33,97,255
81,1901,182.96,106,255
82,1929,178.34,99,255
83,1894,169.83,93,255
84,1888,183.90,106,255
85,1946,214.75,126,255
86,1969,219.18,133,255
87,1896,221.02,131,255
88,1836,217.31,137,255
89,1671,219.58,156,255
90,1653,217.99,154,255
91,1624,218.43,138,255
92,1476,212.80,145,255
93,1176,215.04,138,255
94,809,218.77,151,255
95,633,218.89,170,255
96,518,212.15,153,255
97,446,203.83,152,255
98,385,196.23,152,255
99,287,196.50,151,255
100,133,204.59,163,255
101,70,206.00,167,242
102,0,0.00,0,0
103,0,0.00,0,0
104,0,0.00,0,0
105,0,0.00,0,0
106,0,0.00,0,0
107,0,0.00,0,0
108,0,0.00,0,0
109,0,0.00,0,0
110,0,0.00,0,0
111,0,0.00,0,0
112,0,0.00,0,0
113,0,0.00,0,0
114,0,0.00,0,0
115,0,0.00,0,0
116,0,0.00,0,0
117,0,0.00,0,0
118,0,0.00,0,0
119,0,0.00,0,0
120,0,0.00,0,0
121,0,0.00,0,0
122,0,0.00,0,0
123,0,0.00,0,0
124,0,0.00,0,0
125,0,0.00,0,0
126,0,0.00,0,0
127,0,0.00,0,0
128,0,0.00,0,0
129,0,0.00,0,0
130,0,0.00,0,0
131,0,0.00,0,0
132,0,0.00,0,0
133,0,0.00,0,0
134,0,0.00,0,0
135,0,0.00,0,0
136,0,0.00,0,0
137,0,0.00,0,0
138,0,0.00,0,0
139,0,0.00,0,0
140,0,0.00,0,0
141,0,0.00,0,0
142,0,0.00,0,0
143,0,0.00,0,0
144,0,0.00,0,0
145,0,0.00,0,0
146,0,0.00,0,0
147,0,0.00,0,0
148,0,0.00,0,0
149,0,0.00,0,0
150,0,0.00,0,0
151,0,0.00,0,0
152,0,0.00,0,0
153,0,0.00,0,0
154,0,0.00,0,0
